{'image_path': 'sample_0.jpg', 'text': '(24-'}
{'image_path': 'sample_1.jpg', 'text': '78 40  '}
{'image_path': 'sample_2.jpg', 'text': 'Ccr 1c7'}
{'image_path': 'sample_3.jpg', 'text': '(402^ '}
{'image_path': 'sample_4.jpg', 'text': '"Lc €+a OOunthto-ed'}
{'image_path': 'sample_5.jpg', 'text': 'Z , S +ur enlk ='}
{'image_path': 'sample_6.jpg', 'text': 'ZezLetal ZZr'}
{'image_path': 'sample_7.jpg', 'text': '{z, Ooor'}
{'image_path': 'sample_8.jpg', 'text': '4 ('}
{'image_path': 'sample_9.jpg', 'text': 'fe  /enz & 7'}
{'image_path': 'sample_10.jpg', 'text': 'Orcer <'}
{'image_path': 'sample_11.jpg', 'text': 'Oleccanc a'}
{'image_path': 'sample_12.jpg', 'text': 'KU'}
{'image_path': 'sample_13.jpg', 'text': '& Olw'}
{'image_path': 'sample_14.jpg', 'text': 'ni'}
{'image_path': 'sample_15.jpg', 'text': 'Iuchkokets'}
{'image_path': 'sample_16.jpg', 'text': "'21<€"}
{'image_path': 'sample_17.jpg', 'text': '(escce'}
{'image_path': 'sample_18.jpg', 'text': 'L4'}
{'image_path': 'sample_19.jpg', 'text': '"elzoe'}
{'image_path': 'sample_20.jpg', 'text': '0111e 6'}
{'image_path': 'sample_21.jpg', 'text': 'Crzeencet/'}
{'image_path': 'sample_22.jpg', 'text': '6212ln1'}
{'image_path': 'sample_23.jpg', 'text': '(aras 4'}
{'image_path': 'sample_24.jpg', 'text': 'Jucc'}
{'image_path': 'sample_25.jpg', 'text': 'Facz  72'}
{'image_path': 'sample_26.jpg', 'text': 'Lze'}
{'image_path': 'sample_27.jpg', 'text': '0"c{LeCiCe~2'}
{'image_path': 'sample_28.jpg', 'text': 'ctloc'}
{'image_path': 'sample_29.jpg', 'text': '2Es_'}
{'image_path': 'sample_30.jpg', 'text': '7i 74cH" le fZzzco'}
{'image_path': 'sample_31.jpg', 'text': '24'}
{'image_path': 'sample_32.jpg', 'text': '22L'}
{'image_path': 'sample_33.jpg', 'text': '4'}
{'image_path': 'sample_34.jpg', 'text': '40{n72'}
{'image_path': 'sample_35.jpg', 'text': 'hey i'}
{'image_path': 'sample_36.jpg', 'text': 'e'}
{'image_path': 'sample_37.jpg', 'text': 'Cuoc ( [U~LMllLest 92 [4t7ee4z'}
{'image_path': 'sample_38.jpg', 'text': '7k'}
{'image_path': 'sample_39.jpg', 'text': '4lL'}
{'image_path': 'sample_40.jpg', 'text': 'E'}
{'image_path': 'sample_41.jpg', 'text': '& Uo'}
{'image_path': 'sample_42.jpg', 'text': 'fuch senices'}
{'image_path': 'sample_43.jpg', 'text': '29dz'}
{'image_path': 'sample_44.jpg', 'text': 'T€e'}
{'image_path': 'sample_45.jpg', 'text': 'Li*c'}
{'image_path': 'sample_46.jpg', 'text': 'ShiuelareU'}
{'image_path': 'sample_47.jpg', 'text': "Lu'"}
{'image_path': 'sample_48.jpg', 'text': '~eE2'}
{'image_path': 'sample_49.jpg', 'text': 'D&oc'}
{'image_path': 'sample_50.jpg', 'text': 'SL1xet mex'}
{'image_path': 'sample_51.jpg', 'text': 'RLt'}
{'image_path': 'sample_52.jpg', 'text': '{Akce4}'}
{'image_path': 'sample_53.jpg', 'text': 'LL:'}
{'image_path': 'sample_54.jpg', 'text': 'Irhoi 4 788/1/1"4'}
{'image_path': 'sample_55.jpg', 'text': 'Acce 22c'}
{'image_path': 'sample_56.jpg', 'text': 'Tbet'}
{'image_path': 'sample_57.jpg', 'text': 'Lcttez'}
{'image_path': 'sample_58.jpg', 'text': '&beyas-Tzaaz-ek'}
{'image_path': 'sample_59.jpg', 'text': 'So2era Zaeask 9+1'}
{'image_path': 'sample_60.jpg', 'text': '7ra/+2/4 4k (9aapE'}
{'image_path': 'sample_61.jpg', 'text': 'DLLL OL'}
{'image_path': 'sample_62.jpg', 'text': 'En: fekdieca Zcac 28 2 ,'}
{'image_path': 'sample_63.jpg', 'text': '14ul'}
{'image_path': 'sample_64.jpg', 'text': 'Zt ('}
{'image_path': 'sample_65.jpg', 'text': '6+1 47'}
{'image_path': 'sample_66.jpg', 'text': '~Seudle'}
{'image_path': 'sample_67.jpg', 'text': 'Zepe'}
{'image_path': 'sample_68.jpg', 'text': 'Zafzasfa-Zis Aio'}
{'image_path': 'sample_69.jpg', 'text': '"7 6 ~ikc'}
{'image_path': 'sample_70.jpg', 'text': '8u as fi Leelezee'}
{'image_path': 'sample_71.jpg', 'text': '012 (5'}
{'image_path': 'sample_72.jpg', 'text': '7 <Cacfeduen/ ,ccd'}
{'image_path': 'sample_73.jpg', 'text': '210'}
{'image_path': 'sample_74.jpg', 'text': '284 € (0 /+'}
{'image_path': 'sample_75.jpg', 'text': '~indnisz'}
{'image_path': 'sample_76.jpg', 'text': '['}
{'image_path': 'sample_77.jpg', 'text': '7 (Dura'}
{'image_path': 'sample_78.jpg', 'text': '444-04'}
{'image_path': 'sample_79.jpg', 'text': 'Dl&e('}
{'image_path': 'sample_80.jpg', 'text': "'alnly"}
{'image_path': 'sample_81.jpg', 'text': '3'}
{'image_path': 'sample_82.jpg', 'text': 'Raal Z.9ha Ey 4 /'}
{'image_path': 'sample_83.jpg', 'text': '24221'}
{'image_path': 'sample_84.jpg', 'text': '~tusns [eeeus'}
{'image_path': 'sample_85.jpg', 'text': 'L <'}
{'image_path': 'sample_86.jpg', 'text': '7'}
{'image_path': 'sample_87.jpg', 'text': '[8n78E121+8 /12'}
{'image_path': 'sample_88.jpg', 'text': 'Aeruees Lc/1e > @ss ~eie Zly'}
{'image_path': 'sample_89.jpg', 'text': 'Drcdetc'}
{'image_path': 'sample_90.jpg', 'text': '~rac'}
{'image_path': 'sample_91.jpg', 'text': '0 p'}
{'image_path': 'sample_92.jpg', 'text': '2/ Co'}
{'image_path': 'sample_93.jpg', 'text': 'Zcer Cottl /u6s /'}
{'image_path': 'sample_94.jpg', 'text': 'acte1 [aodaw fLiLoco'}
{'image_path': 'sample_95.jpg', 'text': '47 FeELws'}
{'image_path': 'sample_96.jpg', 'text': '2112€'}
{'image_path': 'sample_97.jpg', 'text': '7'}
{'image_path': 'sample_98.jpg', 'text': 'Kcf&'}
{'image_path': 'sample_99.jpg', 'text': '#feeztZcs iR~'}
{'image_path': 'sample_100.jpg', 'text': '(m'}
{'image_path': 'sample_101.jpg', 'text': 'Zan Lzcerediy 42c BoLeiaae'}
{'image_path': 'sample_102.jpg', 'text': 'Cc'}
{'image_path': 'sample_103.jpg', 'text': '7teULCL'}
{'image_path': 'sample_104.jpg', 'text': 'louloc'}
{'image_path': 'sample_105.jpg', 'text': 'Aatle'}
{'image_path': 'sample_106.jpg', 'text': '~flo/ez'}
{'image_path': 'sample_107.jpg', 'text': '02822722 €'}
{'image_path': 'sample_108.jpg', 'text': 'Zazcszaoo %d471'}
{'image_path': 'sample_109.jpg', 'text': '188304'}
{'image_path': 'sample_110.jpg', 'text': '/-14 _'}
{'image_path': 'sample_111.jpg', 'text': 'O2t 0 €'}
{'image_path': 'sample_112.jpg', 'text': "{2'/a (lcaez~"}
{'image_path': 'sample_113.jpg', 'text': "2 '"}
{'image_path': 'sample_114.jpg', 'text': '22245 ='}
